Community Area,Name,White,Black,American Indian,Asian,Other,Hispanic,Multiple,TOTAL
1,Rogers Park,"21,618","14,461",142,"3,523",241,"13,433","1,573","54,991"
2,West Ridge,"30,706","8,015",189,"16,184",228,"14,701","1,919","71,942"
3,Uptown,"29,098","11,275",191,"6,414",140,"8,009","1,235","56,362"
4,Lincoln Square,"24,916","1,488",72,"4,399",139,"7,562",917,"39,493"
5,North Center,"24,634",738,55,"1,449",67,"4,330",594,"31,867"
6,Lake View,"75,845","3,651",110,"5,653",184,"7,198","1,727","94,368"
7,Lincoln Park,"53,138","2,753",54,"3,296",133,"3,571","1,171","64,116"
8,Near North Side,"58,033","8,732",79,"8,140",188,"3,974","1,338","80,484"
9,Edison Park,"9,885",29,3,269,9,872,120,"11,187"
10,Norwood Park,"30,157",164,54,"1,696",39,"4,442",471,"37,023"
11,Jefferson Park,"17,475",265,71,"2,256",43,"4,927",411,"25,448"
12,Forest Glen,"13,815",137,22,"1,989",16,"2,126",403,"18,508"
13,North Park,"8,847",573,42,"4,600",86,"3,224",559,"17,931"
14,Albany Park,"15,054","2,076",119,"7,430",181,"25,487","1,195","51,542"
15,Portage Park,"34,329",856,107,"2,972",136,"24,861",863,"64,124"
16,Irving Park,"22,234","1,736",124,"3,736",137,"24,332","1,060","53,359"
17,Dunning,"29,512",308,40,"1,587",54,"9,997",434,"41,932"
18,Montclare,"5,041",598,21,377,29,"7,248",112,"13,426"
19,Belmont Cragin,"11,959","2,493",74,"1,537",159,"62,101",420,"78,743"
20,Hermosa,"1,913",757,16,294,38,"21,860",132,"25,010"
21,Avondale,"11,166",991,69,"1,194",93,"25,295",454,"39,262"
22,Logan Square,"29,175","3,913",111,"1,904",198,"37,340",954,"73,595"
23,Humboldt Park,"2,502","23,030",56,222,88,"30,046",379,"56,323"
24,West Town,"46,390","6,391",121,"3,030",187,"23,856","1,457","81,432"
25,Austin,"4,364","83,837",161,573,74,"8,722",783,"98,514"
26,West Garfield Park,133,"17,315",22,8,11,348,164,"18,001"
27,East Garfield Park,698,"18,696",24,83,20,850,196,"20,567"
28,Near West Side,"23,042","17,303",84,"8,022",170,"5,048","1,212","54,881"
29,North Lawndale,492,"32,835",78,74,24,"2,144",265,"35,912"
30,South Lawndale,"3,056","10,374",63,113,99,"65,457",126,"79,288"
31,Lower West Side,"4,447","1,108",50,371,45,"29,486",262,"35,769"
32,Loop,"18,359","3,361",46,"4,658",97,"2,010",752,"29,283"
33,Near South Side,"10,281","6,015",18,"3,307",63,"1,202",504,"21,390"
34,Armour Square,"1,642","1,419",4,"9,721",3,464,138,"13,391"
35,Douglas,"1,810","13,247",41,"2,313",24,465,338,"18,238"
36,Oakland,122,"5,567",17,35,10,87,80,"5,918"
37,Fuller Park,47,"2,651",0,7,0,132,39,"2,876"
38,Grand Boulevard,391,"20,645",33,57,21,395,387,"21,929"
39,Kenwood,"2,942","12,821",17,973,64,542,482,"17,841"
40,Washington Park,87,"11,370",13,12,2,104,129,"11,717"
41,Hyde Park,"11,992","7,815",37,"3,185",95,"1,626",931,"25,681"
42,Woodlawn,"1,707","22,654",42,567,34,543,436,"25,983"
43,South Shore,640,"47,289",120,101,76,854,687,"49,767"
44,Chatham,112,"30,160",69,27,26,311,323,"31,028"
45,Avalon Park,81,"9,751",18,19,16,153,147,"10,185"
46,South Chicago,599,"23,296",52,67,73,"6,774",337,"31,198"
47,Burnside,19,"2,849",2,0,0,20,26,"2,916"
48,Calumet Heights,126,"12,897",17,26,22,569,155,"13,812"
49,Roseland,188,"43,447",64,27,40,458,395,"44,619"
50,Pullman,522,"6,122",8,5,8,571,89,"7,325"
51,South Deering,725,"9,354",31,18,16,"4,809",156,"15,109"
52,East Side,"3,969",777,39,53,18,"18,076",110,"23,042"
53,West Pullman,166,"27,593",45,14,15,"1,509",309,"29,651"
54,Riverdale,32,"6,251",7,2,4,132,54,"6,482"
55,Hegewisch,"4,235",364,22,48,1,"4,671",85,"9,426"
56,Garfield Ridge,"18,372","2,040",29,346,33,"13,515",178,"34,513"
57,Archer Heights,"2,874",130,15,138,11,"10,182",43,"13,393"
58,Brighton Park,"3,682",542,40,"2,252",44,"38,693",115,"45,368"
59,McKinley Park,"2,667",234,23,"2,445",11,"10,111",121,"15,612"
60,Bridgeport,"11,225",672,41,"11,038",37,"8,627",337,"31,977"
61,New City,"4,697","13,148",58,727,55,"25,431",261,"44,377"
62,West Elsdon,"3,250",255,15,222,13,"14,314",40,"18,109"
63,Gage Park,"1,892","2,161",23,121,34,"35,589",74,"39,894"
64,Clearing,"11,921",282,27,212,38,"10,484",175,"23,139"
65,West Lawn,"4,924","1,390",28,210,21,"26,669",113,"33,355"
66,Chicago Lawn,"2,419","27,403",72,190,84,"25,141",319,"55,628"
67,West Englewood,130,"34,178",67,19,28,774,309,"35,505"
68,Englewood,105,"29,847",53,34,24,325,266,"30,654"
69,Greater Grand Crossing,180,"31,590",77,21,32,388,314,"32,602"
70,Ashburn,"6,251","18,976",45,276,27,"15,132",374,"41,081"
71,Auburn Gresham,134,"47,661",81,33,26,459,349,"48,743"
72,Beverly,"11,785","6,838",23,112,40,915,321,"20,034"
73,Washington Heights,121,"25,793",36,12,22,258,251,"26,493"
74,Mount Greenwood,"16,413",987,34,126,9,"1,382",142,"19,093"
75,Morgan Park,"6,473","15,039",11,92,32,619,278,"22,544"
76,O'Hare,"9,845",403,15,"1,058",26,"1,212",197,"12,756"
77,Edgewater,"30,889","8,104",98,"6,582",153,"9,318","1,377","56,521"
TOTAL,,"854,717","872,286","4,097","144,903","4,784","778,862","35,949","2,695,598"
,,,,,,,,,
