Community Area,Side
1,Far North side
2,Far North side
3,Far North side
4,Far North side
5,North side
6,North side
7,North side
8,Central
9,Far North side
10,Far North side
11,Far North side
12,Far North side
13,Far North side
14,Far North side
15,Northwest side
16,Northwest side
17,Northwest side
18,Northwest side
19,Northwest side
20,Northwest side
21,North side
22,North side
23,West side
24,West side
25,West side
26,West side
27,West side
28,West side
29,West side
30,West side
31,West side
32,Central
33,Central
34,South side
35,South side
36,South side
37,South side
38,South side
39,South side
40,South side
41,South side
42,South side
43,South side
44,Far Southeast side
45,Far Southeast side
46,Far Southeast side
47,Far Southeast side
48,Far Southeast side
49,Far Southeast side
50,Far Southeast side
51,Far Southeast side
52,Far Southeast side
53,Far Southeast side
54,Far Southeast side
55,Far Southeast side
56,Southwest side
57,Southwest side
58,Southwest side
59,Southwest side
60,South side
61,Southwest side
62,Southwest side
63,Southwest side
64,Southwest side
65,Southwest side
66,Southwest side
67,Southwest side
68,Southwest side
69,South side
70,Far Southwest side
71,Far Southwest side
72,Far Southwest side
73,Far Southwest side
74,Far Southwest side
75,Far Southwest side
76,Far North side
77,Far North side
